#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Nov 20 13:14:35 EST 2017,40,40,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1+ AddEdgeTest2+ AddEdgeTest3+ AddNodeTest1+ AddNodeTest2+ DelEdgeTest1+ DelNodeTest1+ TopoSortTest4+ TopoSortTest5+ TopoSortTest6+ , ,AddEdgeTest4- AddNodeTest0- DelEdgeTest0- DelEdgeTest2- DelNodeTest0- DelNodeTest2- EfficiencyTest1- NumEdgeTest0- NumEdgeTest1- NumNodeTest0- NumNodeTest1- TopoSortTest0- TopoSortTest1- TopoSortTest2- TopoSortTest3- TopoSortTest7- , ,
1,Mon Nov 20 15:19:18 EST 2017,44,4,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddNodeTest0+ AddNodeTest2 DelEdgeTest1 DelNodeTest1 NumNodeTest0+ TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,AddEdgeTest4 AddNodeTest1- DelEdgeTest0 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
2,Mon Nov 20 15:43:03 EST 2017,48,4,Assignment5Suite,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4+ AddNodeTest0 AddNodeTest2 DelEdgeTest1 DelNodeTest1 NumEdgeTest0+ NumNodeTest0 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,AddEdgeTest0- AddNodeTest1 DelEdgeTest0 DelEdgeTest2 DelNodeTest0 DelNodeTest2 EfficiencyTest1 NumEdgeTest1 NumNodeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
3,Mon Nov 20 17:01:38 EST 2017,62,14,Assignment5Suite,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest2 DelEdgeTest0+ DelEdgeTest1 DelNodeTest0+ DelNodeTest1 DelNodeTest2+ NumEdgeTest0 NumNodeTest0 NumNodeTest1+ TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,AddEdgeTest0 AddNodeTest1 DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
4,Mon Nov 20 17:04:28 EST 2017,62,0,Assignment5Suite,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,AddEdgeTest0 AddNodeTest1 DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
5,Mon Nov 20 17:26:07 EST 2017,62,0,Assignment5Suite,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,AddEdgeTest0 AddNodeTest1 DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
6,Mon Nov 20 17:33:57 EST 2017,66,4,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,AddNodeTest1 DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
7,Mon Nov 20 17:55:30 EST 2017,66,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,AddNodeTest1 DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
8,Mon Nov 20 18:07:12 EST 2017,70,4,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1+ AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
9,Mon Nov 20 18:14:51 EST 2017,70,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
10,Mon Nov 20 19:12:50 EST 2017,70,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
11,Mon Nov 20 20:18:08 EST 2017,70,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
12,Mon Nov 20 20:21:00 EST 2017,74,4,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1+ NumNodeTest0 NumNodeTest1 TopoSortTest4 TopoSortTest5 TopoSortTest6 , ,DelEdgeTest2 EfficiencyTest1 TopoSortTest0 TopoSortTest1 TopoSortTest2 TopoSortTest3 TopoSortTest7 , ,
